哦	o2，真不走运。	Oh, that's tough luck.
啦	别客气la5尽情地吃吧！	Don't stand on ceremony----dig in!
嘿	hei1，这个消息太棒了！	Hey, the news's terrific/great!
投票	这位参议员tou2piao4支持总统。	The senator voted to support the president.
更新	geng1xin1（旧信息）的信息	Information that updates.
哇	多高大的树wa1!	What a giant of a tree!
家伙	他是个卑鄙的jia1huo5.	He's a scurvy wretch.
拥有	他渴望yong1you3权力。	He was thirsty for power.
奖励	对投资期限较长者可获百分之二的jiang3li4.	A premium of 2 per cent is paid on long-term investments.
崇拜	不要chong2bai4财富。	Don't make an idol of money.
拜托	bai4tuo1您捎个信儿给他。	Would you be kind enough to take a message to him?
等级	一切生物均可按deng3ji2分类.	There is a hierarchy in the classification of all living creatures.
评论	批判批判性的ping2lun4或判断	A critical comment or judgment.
现场	一名xian4chang3采访记者	An on-the-scene reporter.
视频	没有shi4pin2信号。	There is no video signal.
模式	纯粹地符合类型、标准或mo2shi4地	So as to conform to a type, standard, or pattern.
而已	他只是假装er2yi3。	He's only shamming.
修复	卡车严重损坏，已无xiu1fu4的希望。	The lorry was damaged beyond hope of repair.
客户	他们给ke4hu4散发传单。	They distributed leaflets to customers.
夫人	这边请，fu1ren5。	This way please, madam.
时光	不要虚度shi2guang1。	Don't loiter your time away.
死亡	车祸造成很多人si3wang2。	Car accident caused many deaths.
天堂	除了tian1tang2门，黄金皆可进。	Gold go in at any gate except heaven's.
人家	ren2jia5让我挪动了车子。	I was made to move my car.
战斗	他号召部下zhan4dou4。	He summoned his soldiers to fight.
恶心	我有些e3xin5.	I feel sort of queasy.
事业	他的shi4ye4兴旺发达。	His business is prosperous.
尸体	shi1ti3躺在血泊中.	The body was lying in a pool of blood.
屁股	你把pi4gu5挪一挪, 我想坐下.	Move your stern, I want to sit down.
将军	jiang1jun1下令部下攻城。	The general commanded his men to attack the city.
砸	那块石头差点儿za2到男孩。	The stone just missed the boy.
啥	别看种菜没sha2，其实大有学问。	Growing vegetables looks easy, but actually it takes a lot of learning.
剑	英雄用jian4猛劈巨人。	The hero smote the giant with his sword.
监狱	窃贼被关押在jian1yu4里。	The thief was confined in a prison.
恐怖	他看到那kong3bu4的情景吓呆了.	He stiffened (with terror) at the horrific sight.
真相	无疑这是zhen1xiang4。	This is beyond doubt the truth.
事件	shi4jian4接二连三地发生。	The events came thick and fast.
选手	他无疑是较优秀的xuan3shou3.	He is without dispute the better player.
意识	我没有yi4shi2到。	I wasn't aware of that.
性感	她是位xing4gan3的西方美人。	She is a sultry western beauty.
凶手	那个xiong1shou3向司法部门投案自首。	The murderer delivered himself up to justice.
坑	种树前，我们先用铁锹挖了些keng1。	We dig some pits with a spade before planting the trees.
导航	由于没有适当的dao3hang2援助，飞行员不了解周围气候的变化情况，将飞机直接飞入了热带飓风眼内。	Not having proper navigational aids the pilot had been unaware of the changing conditions and had flown the plane right into the eye of the tropical storm.
武器	他们携带著wu3qi4.	They were carrying weapons.
发誓	他fa1shi4永远爱她。	He swore to love her for evermore.
凌晨	他於星期日ling2chen2逝世.	He died in the early hours of Sunday morning.
副	他脸上一fu4凶相。	He has a very fierce look on his face.
冲动	急躁的仓促而不加思索的；chong1dong4的	Hasty and unthinking; impetuous.
激情	这首诗表现出强烈的ji1qing2。	The poem showed great intensity of feeling.
孤独	我不喜欢gu1du2。	I am not fond of solitude.
欢乐	彩旗增加了节日的huan1le4。	Color flags added to the gaiety of the festival.
撒谎	看来你在sa1huang3。	It seems (that) you were lying.
灵魂	天主教徒透过告解以获得赦罪[净化ling2hun2].	Catholics go to confession to be purged of sin/purge (away) their sin/purge their souls of sin.
岁月	sui4yue4和风雨早已磨掉纪念碑上的铭文。	Time and weather had long ago effaced the inscription on the monument.
瞬间	shun4jian1一个短暂的、不确定的时间间隔	A brief, indefinite interval of time.
舞蹈	她一生献身于研究wu3dao3。	Her whole life has been given to the study of dance.
侦探	zhen1tan4特别强调细节。	The detective laid great stress on details.
即将	他ji2jiang1动身。	He was about to start.
用户	对方合用电话线路的yong4hu4	A subscriber to a telephone party line.
失踪	他shi1zong1一事警方正在调查.	His disappearance is being looked into by the police.
交易	商品jiao1yi4兴旺.	Trading in commodities was brisk.
明明	ming2ming2白白的事实；明显的野心	The naked facts; naked ambition.
机遇	不要让ji1yu4从我们身边溜走。	Don't let chances pass by.
穿越	他们被禁止chuan1yue4占领区.	They were denied passage through the occupied territory.
结局	这故事的jie2ju2如何?	How does this story end?
尝试	他绝望之下放弃了chang2shi4。	He gave up the attempt in despair.
搭	栏杆上da1著条毛巾.	A towel hung from the rail.
能量	心理创伤；心理neng2liang4	Psychic trauma; psychic energy.
线索	警方正进一步寻找xian4suo3.	The police are on the hunt for further clues.
爆炸	锅炉bao4zha4了。	The boiler blew up.
实力	利物浦足球队和英格兰足球队shi2li4相当。	Liver-pool and England are neck and neck in strength.
耍	你想shua3心眼儿吗?	Are you trying to be clever?
系列	行列行、列、xi4lie4或行列	A row, line, series, or range.
刺	【谚】玫瑰好看却有ci4。	Roses have thorns.
官方	guan1fang1的认可；同意	Official approval; sanction.
攻击	他公然予以gong1ji1。	He made an undisguised attack.
神奇	这是个shen2qi2的故事。	It's a magical story.
吉祥	他有一种迷信的想法认为黑猫不ji2xiang2。	He has a superstitious thought that black cat are unlucky.
灯笼	水池周围的树上悬挂著deng1long5.	Lanterns were strung in the trees around the pool.
钻石	她左手上戴着一枚zuan4shi2戒指。	She wears a diamond ring on her left hand.
试图	他曾shi4tu2服毒自杀。	He tried to kill himself by taking poison.
清醒	他完全qing1xing3了。	He was wide awake.
魔鬼	mo2gui3所逼，不得已也。	Needs must when the devil drives.
财富	cai2fu4并不一定带来快乐。	Money doesn't always bring happiness.
折磨	她长期受风湿病的zhe2mo2.	She's a martyr to rheumatism.
永恒	该体系的yong3heng2性不受任何事物的影响.	Nothing threatens the permanence of the system.
发布	地方长官fa1bu4哀悼一日的命令.	The governor decreed a day of mourning.
子弹	zi3dan4从枪中射出。	The bullet was expelled from the gun.
登陆	部队已在几个地点deng1lu4.	Troops have been landed at several points.
展现	他zhan3xian4了非同小可的本事。	He showed no small skill.
年度	本nian2 du4的盈利将与上一nian2 du4的亏损相抵.	This year's profits will balance our previous losses.
意味着	他沉默不语yi4wei4zhe5同意了。	His silence implied agreement.
心灵	慈爱的关怀；温和仁慈的xin1ling2	A kindly interest; a gentle, kindly soul.
盯	ding1著人看是没有礼貌的.	It's rude to stare.
思念	他们si1nian4着在亚洲的故乡。	They were pining for their homeland in Asia.
淘汰	太阳队在第一轮比赛中被tao2tai4了。	The Sun Team was washed out in the first round.
灿烂	他说日落是多麽的辉煌can4lan4。	He said how glorious the sunset was.
愚蠢	真是个yu2chun3的白痴!	What a stupid idiot!
承诺	他不愿做出任何cheng2nuo4。	He would not commit himself in any way.
收藏	这是shou1cang2的一批中国玉器。	It's a collection of Chinese jade.
神经	街上的噪音使她shen2jing1紧张。	Her nerves were frayed by the noises in the street.
袭击	他被一头野猪xi2ji1。	He was attacked by a wild boar.
熬	ao2几个晚上对任何人绝无害处.	A few late nights never did anyone any harm.
成员	这个党的核心cheng2yuan2决定一切。	The hard core in the party make all the decisions.
忙碌	他通常是mang2lu4的。	He is usually busy.
愤怒	我咬牙切齿fen4nu4已极。	I was gnashing my teeth with rage.
依旧	她yi1jiu4是那个老样。	She still looks her old self.
同志	陆tong2zhi4表现突出，是一个劳动模范。	Comrade Lu stands forth as a model worker.
诱惑	魔鬼you4huo4了亚当和夏娃.	The Devil tempted Adam and Eve.
造型	圆凸线一种窄的凸圆zao4xing2	A narrow, convex molding.
毒品	法律禁止贩卖du2pin3.	The sale of narcotics is proscribed by law.
降临	一场大难jiang4lin2到他的头上.	A great misfortune befell him.
革命	我们应该发扬ge2ming4传统。	We shall carry forward the revolutionary tradition.
当初	他dang1chu1刚到伦敦时很孤单.	He was very lonely at first when he moved to London.
跟踪	警方在gen1zong1追捕他。	The police are hot on his trail.
恐惧	仇恨常常源於kong3ju4.	Hatred often springs from fear.
搭配	＂Belong＂习惯上与""to""da1pei4。	Belong"" collocates with ""to"".
眼神	她以崇拜的yan3shen2看着他。	She looked at him in an adoring manner.
嫉妒	他ji2du4她挣的比他多.	He grudges her earning more than he does.
本人	ben3ren2对案情陈述完毕.	I rest my case.
崩溃	所以他们在执政的最后一年就彻底beng1kui4了。	And they go to pieces completely in the last year.
展示	那个国家将要zhan3shi4埃及木乃伊。	There will be an Egyptian mummy show in that country.
难得	她nan2de2看电影.	She seldom, if ever, goes to the cinema.
队伍	我看见dui4wu5走过.	I saw the procession pass by.
卷	壁纸是成juan3买的.	Wallpaper is bought in rolls.
州	美国有多少zhou1?	How many States are there in the United States of America?
尴尬	泰然自若，沉着不受影响或不gan1ga4；冷静	Freedom from affectation or embarrassment; composure.
警告	不顾他们的jing3gao4	Neglected their warnings.
绑架	他们发誓要向bang3jia4者报仇.	They swore to take their revenge on the kidnappers.
社区	一种顽固的社会恶习扩散到整个she4qu1	A cancer of bigotry spread through the community.
公民	她是个守法的gong1min2。	She is a lawful citizen.
代价	你必须为此付出dai4jia4。	You'll have to pay for that.
对付	他是个很难dui4fu5的人。	He was a difficult man to deal with.
默默	他们惊讶地mo4mo4凝视那奇景。	They stared at the strange sight in silent wonder.
天生	他tian1sheng1有音乐才能。	He is endowed with a gift in music by nature.
回报	投资的收益投资获利；hui2bao4	A profit obtained from an investment; a return.
镜头	jing4tou2转换到一座坟墓。	The scene shifted to a sepulcher.
背叛	他非但不接受我的劝告，反而bei4pan4了我。	Far from accepting my advice, he went back on me.
事故	shi4gu4发生在六点钟。	The accident happened at six o'clock.
爆发	他的压抑终于bao4fa1了。	His repression broke out.
惊讶	他jing1ya4地竖起了眉毛。	His brows went up in surprise.
诞生	我极想看看那国王dan4sheng1的房子。	I am curious to see the house where the king was born.
间谍	那女jian4die2伪装成顾问工程师.	The spy's cover was that she was a consultant engineer.
逮捕	我按企图盗窃罪dai4bu3你.	I am placing you under arrest for attempted burglary.
渴望	他ke3wang4回到故乡。	He yearned to return to his native land.
监视	警方对疑犯昼夜jian1shi4.	The police are keeping the suspects under round-the-clock surveillance.
在意	老师对于我的迟到并不zai4yi4。	Our teacher didn't mind my coming in late.
抛弃	他pao1qi4了一切禁忌.	He cast aside all his inhibitions.
宇宙	yu3zhou4存在于太空。	The universe exists in space.
毫无	她hao2wu2幽默感。	She had no sense of humor.
迷人	她姿色mi2ren2，因而评委都偏向她。	Her charm prejudiced the judges in her favour.
提示	她需要不时给予ti2shi4.	She needed an occasional prompt.
确保	我们及早订票以que4bao3有座。	We book early to assure ourselves of seats.
角落	喜讯传遍了祖国的每个jiao3luo4。	The good news spread to every corner of the country.
信仰	世界上有许多种宗教xin4yang3。	There are many religions in the world.
荣幸	很rong2xing4同您见面。	I'm honored to meet you.
任意	从一副牌中ren4yi4选出一张	Chose a card at random from the deck.
突破	示威群众tu1po4了警戒线.	Demonstrators broke through the police cordon.
牺牲	向女神祭献了一头xi1sheng1小牛.	A calf was offered up as a sacrifice to the goddess.
无辜	我倾向于相信他的wu2gu1。	I'm inclined to believe him innocent.
宁愿	我ning4yuan4看处于野生状态的动物。	I prefer to see animals living in their natural state.
忍受	我再也不能ren3shou4了。	I can't stick it any more.
生物	人是有理性的sheng1wu4。	Man is a rational being.
版本	这本字典的新ban3ben3还未通行。	The new version of this dictionary is not in use yet.
释放	奴隶们被shi4fang4了。	The slaves were enfranchised.
绝望	他jue2wang4地叹了口气。	He sighed with despair.
军队	jun1dui4在移动.	The army is on the move.
乐趣	她感到了写作的le4qu4。	She discovered the joy of writing.
脆弱	这个错误证明他也是个凡人；人的cui4ruo4	A mistake that shows he's only human; human frailty.
乐意	我le4yi4和你去。	I am willing to go with you.
艰难	jian1nan2时期；动乱时代	Hard times; a time of troubles.
机构	议会是政府的一个ji1gou4。	Parliament is an organ of government.
欺骗	他以友谊为掩护qi1pian4了我们。	He cheated us under the guise of friendship.
装备	zhuang1bei4摄影室的开支很大.	The equipment of the photographic studio was expensive.
生存	没有一个人可以不呼吸而sheng1cun2。	No one can live without breathing.
暴力	他性情温和, 讨厌bao4li4.	Violence is abhorrent to his gentle nature.
夫妇	邻居的fu1-fu4总吵架.	The couple next door are always arguing.
感染	我看我已经受细菌gan3ran3了.	I think I've caught a bug.
人间	ren2jian1若有天堂, 非此莫属!	If there's a heaven on earth, this is it!
执行	我开始zhi2xing2计划。	I set a project afoot.
完毕	庄稼已妥善收获wan2bi4.	The harvest has been safely gathered in.
进展	我们jin4zhan3顺利.	We're getting along swimmingly.
欲望	他是个没什麽yu4wang4的人.	He is a man of few wants.
危机	两国关系已达到出现wei1ji1的地步。	Relation between the two countries has reached a crisis point.
期望	结果超出了我们的qi1wang4。	The results have gone beyond our hopes.
亲密	qin1mi4稳固的友谊；qin1mi4	Established friendship; intimacy.
